,short_sentence_index
0,0
1,6
2,7
3,24
4,27
5,53
6,61
7,62
8,65
9,68
10,84
11,92
12,100
13,105
14,110
15,112
16,115
17,117
18,119
19,122
20,127
21,147
22,161
23,170
24,176
25,182
26,191
27,194
28,203
29,222
30,223
31,224
32,257
33,259
34,260
35,293
36,332
37,343
38,357
39,373
40,411
41,424
42,460
43,473
44,484
45,518
46,534
47,566
48,582
49,646
50,668
51,673
52,678
53,685
54,688
55,701
56,710
57,716
58,718
59,733
60,743
61,744
62,745
63,747
64,749
65,759
66,762
67,763
68,764
69,768
70,769
71,773
72,776
73,777
74,778
75,792
76,847
77,887
78,908
79,923
80,937
81,947
82,1006
83,1046
84,1052
85,1072
86,1075
87,1090
88,1131
89,1148
90,1153
91,1201
92,1210
93,1213
94,1218
95,1221
96,1229
97,1230
98,1237
99,1260
100,1261
101,1312
102,1316
103,1324
104,1328
105,1342
106,1345
107,1346
108,1348
109,1352
110,1366
111,1385
112,1395
113,1398
114,1399
115,1400
116,1405
117,1415
118,1435
119,1441
120,1442
121,1456
122,1493
123,1504
124,1527
125,1559
126,1560
127,1565
128,1582
129,1602
130,1603
131,1610
132,1613
133,1614
134,1646
135,1648
136,1652
137,1663
138,1704
139,1705
140,1715
141,1721
142,1723
143,1729
144,1738
145,1740
146,1745
147,1753
148,1773
149,1800
150,1814
151,1854
152,1886
153,1888
154,1894
155,1907
156,1925
157,1941
158,1942
159,1958
160,1959
161,1964
162,1984
163,1985
164,2015
165,2020
166,2027
167,2028
168,2030
169,2051
170,2061
171,2067
172,2068
173,2072
174,2077
175,2085
176,2094
177,2100
178,2111
179,2120
180,2122
181,2126
182,2130
183,2137
184,2170
185,2174
186,2183
187,2187
188,2191
189,2192
190,2194
191,2201
192,2284
193,2286
194,2287
195,2296
196,2311
197,2312
198,2319
199,2325
200,2337
201,2348
202,2359
203,2364
204,2365
205,2367
206,2368
207,2370
208,2377
209,2395
210,2410
211,2438
212,2462
213,2463
214,2466
215,2492
216,2498
217,2511
218,2513
219,2517
220,2544
221,2547
222,2555
223,2569
224,2570
225,2571
226,2590
227,2599
228,2636
229,2638
230,2643
231,2676
232,2679
233,2681
234,2684
235,2686
236,2690
237,2728
238,2755
239,2756
240,2771
241,2792
242,2800
243,2809
244,2810
245,2825
246,2830
247,2837
248,2840
249,2841
250,2847
251,2850
252,2852
253,2872
254,2875
255,2893
256,2902
257,2907
258,2944
259,2959
260,2975
261,2976
262,2977
263,2996
264,3039
265,3053
266,3058
267,3059
268,3061
269,3063
270,3087
271,3088
272,3102
273,3148
274,3199
275,3234
276,3236
277,3237
278,3250
279,3252
280,3254
281,3258
282,3273
283,3297
284,3301
285,3304
286,3306
287,3329
288,3332
289,3336
290,3343
291,3354
292,3357
293,3388
294,3393
295,3423
296,3436
297,3449
298,3507
299,3525
300,3535
301,3541
302,3543
303,3552
304,3564
305,3575
306,3579
307,3583
308,3585
309,3627
310,3676
311,3687
312,3709
313,3710
314,3712
315,3724
316,3725
317,3727
318,3729
319,3736
320,3739
321,3740
322,3754
323,3756
324,3758
325,3760
326,3768
327,3774
328,3782
329,3801
330,3829
331,3833
332,3863
333,3869
334,3876
335,3884
336,3927
337,3929
338,3950
339,3953
340,3963
341,3967
342,3987
343,4013
344,4020
345,4040
346,4042
347,4047
348,4050
349,4061
350,4079
351,4082
352,4150
353,4168
354,4180
355,4345
356,4347
357,4348
358,4358
359,4362
360,4384
361,4427
362,4467
363,4491
364,4492
365,4505
366,4508
367,4535
368,4536
369,4538
370,4545
371,4547
372,4555
373,4567
374,4600
375,4626
376,4675
377,4700
378,4704
379,4715
380,4770
381,4815
382,4818
383,4819
384,4826
385,4829
386,4838
387,4839
388,4840
389,4897
